provincia,localidad,empresabandera,precio,mes,anio,latitud,longitud,geojson,region
BUENOS AIRES,LOMAS DEL MIRADOR,PUMA,1252,6,2025,-34658476,-58529443,"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}",Centro
BUENOS AIRES,LOMAS DEL MIRADOR,PUMA,1238,5,2025,-34658476,-58529443,"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}",Centro
BUENOS AIRES,LOMAS DEL MIRADOR,PUMA,1193,1,2025,-34658476,-58529443,"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}",Centro
BUENOS AIRES,LOMAS DEL MIRADOR,PUMA,1655,12,2025,-34658476,-58529443,"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}",Centro
BUENOS AIRES,LOMAS DEL MIRADOR,PUMA,1558,11,2025,-34658476,-58529443,"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}",Centro
BUENOS AIRES,LOMAS DEL MIRADOR,PUMA,1340,6,2025,-34658476,-58529443,"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}",Centro
BUENOS AIRES,LOMAS DEL MIRADOR,PUMA,1484,10,2025,-34658476,-58529443,"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}",Centro
BUENOS AIRES,LOMAS DEL MIRADOR,PUMA,1225,5,2025,-34658476,-58529443,"{""type"":""Point"",""coordinates"":[-58.529443,-34.658476]}",Centro
RIO NEGRO,SIERRA GRANDE,PUMA,1020,3,2025,-4160707,-6535383,"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}",Cuyo/Comahue
RIO NEGRO,SIERRA GRANDE,PUMA,1047,4,2025,-4160707,-6535383,"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}",Cuyo/Comahue
RIO NEGRO,SIERRA GRANDE,PUMA,952,1,2025,-4160707,-6535383,"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}",Cuyo/Comahue
RIO NEGRO,SIERRA GRANDE,PUMA,978,1,2025,-4160707,-6535383,"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}",Cuyo/Comahue
RIO NEGRO,SIERRA GRANDE,PUMA,1026,5,2025,-4160707,-6535383,"{""type"":""Point"",""coordinates"":[-65.35383,-41.60707]}",Cuyo/Comahue
CHUBUT,GOBERNADOR COSTA,PUMA,1020,3,2025,-44050662,-70583041,"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}",Patagonia
CHUBUT,GOBERNADOR COSTA,PUMA,1047,4,2025,-44050662,-70583041,"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}",Patagonia
CHUBUT,GOBERNADOR COSTA,PUMA,997,2,2025,-44050662,-70583041,"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}",Patagonia
CHUBUT,GOBERNADOR COSTA,PUMA,1194,1,2025,-44050662,-70583041,"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}",Patagonia
CHUBUT,GOBERNADOR COSTA,PUMA,962,1,2025,-44050662,-70583041,"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}",Patagonia
CHUBUT,GOBERNADOR COSTA,PUMA,1026,5,2025,-44050662,-70583041,"{""type"":""Point"",""coordinates"":[-70.583041,-44.050662]}",Patagonia
BUENOS AIRES,EL TALAR,PUMA,1284,4,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1366,7,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1367,8,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1473,10,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1684,12,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1190,1,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1247,6,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1234,2,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1562,11,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1259,3,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1253,5,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,EL TALAR,PUMA,1233,5,2025,-3447597,-5866318,"{""type"":""Point"",""coordinates"":[-58.66318,-34.47597]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1299,4,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1475,9,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1299,6,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1412,8,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1697,12,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1254,2,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1577,11,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1289,5,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1281,3,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1211,1,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1509,10,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1524,10,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1588,11,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1479,9,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1546,10,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1460,8,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1364,6,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,LUJAN,SHELL C.A.P.S.A.,1637,11,2025,-34557095,-59035694,"{""type"":""Point"",""coordinates"":[-59.035694,-34.557095]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1190,2,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1214,3,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1234,4,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1209,5,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1322,8,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1382,9,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1439,10,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1511,11,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1619,12,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1227,6,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1362,8,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
BUENOS AIRES,SAN MARTIN,PUMA,1191,2,2025,-34561286,-58588248,"{""type"":""Point"",""coordinates"":[-58.588248,-34.561286]}",Centro
